,NUM_AGE,0,1,TARGET_RATE,Age_Group
0,18,142.0,53.0,0.2717948717948718,2
1,19,189.0,33.0,0.14864864864864866,2
2,20,251.0,33.0,0.11619718309859155,2
3,21,229.0,24.0,0.09486166007905138,2
4,22,234.0,20.0,0.07874015748031496,2
5,23,241.0,31.0,0.11397058823529412,2
6,24,247.0,21.0,0.07835820895522388,2
7,25,246.0,23.0,0.08550185873605948,2
8,26,228.0,25.0,0.09881422924901186,2
9,27,244.0,18.0,0.06870229007633588,2
10,28,193.0,15.0,0.07211538461538461,2
11,29,170.0,16.0,0.08602150537634409,2
12,30,158.0,15.0,0.08670520231213873,2
13,31,127.0,8.0,0.05925925925925926,3
14,32,123.0,13.0,0.09558823529411764,3
15,33,128.0,6.0,0.04477611940298507,3
16,34,90.0,11.0,0.10891089108910891,3
17,35,102.0,8.0,0.07272727272727272,3
18,36,91.0,10.0,0.09900990099009901,3
19,37,73.0,4.0,0.05194805194805195,3
20,38,81.0,1.0,0.012195121951219513,3
21,39,70.0,4.0,0.05405405405405406,3
22,40,75.0,8.0,0.0963855421686747,3
23,41,59.0,5.0,0.078125,3
24,42,59.0,7.0,0.10606060606060606,3
25,43,66.0,5.0,0.07042253521126761,3
26,44,50.0,2.0,0.038461538461538464,0
27,45,51.0,7.0,0.1206896551724138,0
28,46,65.0,3.0,0.04411764705882353,0
29,47,45.0,3.0,0.0625,0
30,48,33.0,2.0,0.05714285714285714,0
31,49,30.0,6.0,0.16666666666666666,0
33,51,22.0,2.0,0.08333333333333333,0
34,52,21.0,5.0,0.19230769230769232,0
35,53,21.0,4.0,0.16,0
36,54,20.0,4.0,0.16666666666666666,0
37,55,21.0,1.0,0.045454545454545456,0
38,56,15.0,5.0,0.25,0
39,57,9.0,3.0,0.25,0
42,60,7.0,3.0,0.3,1
43,61,10.0,3.0,0.23076923076923078,1
44,62,11.0,3.0,0.21428571428571427,1
45,63,9.0,3.0,0.25,1
46,64,5.0,1.0,0.16666666666666666,1
47,65,5.0,1.0,0.16666666666666666,1
48,66,11.0,2.0,0.15384615384615385,1
49,67,5.0,2.0,0.2857142857142857,1
50,68,2.0,1.0,0.3333333333333333,1
51,69,5.0,1.0,0.16666666666666666,1
52,70,7.0,3.0,0.3,1
55,73,6.0,1.0,0.14285714285714285,1
59,80,0.0,1.0,1.0,1
