,Feature,Importance
1,AMT_REQUESTED_TICKET,0.3935546840536999
11,age_range_56 - 68,0.22296213306551932
10,age_range_43 - 55,0.19166423915289899
6,CNT_REJECTED,0.11808274845484285
5,NFLAG_EMAIL_NUMERAL,0.09354616576948721
2,NFLAG_MOBILEDEVICE,0.04161150524566801
12,age_range_69 - 84,0.010362354938911416
8,GENDER,-0.008903663153097471
9,age_range_30 - 42,-0.011277513036431252
0,AMT_NET_INCOME,-0.036198120882070396
3,CODE_IP_1,-0.17585242722705424
4,NUM_LEVEN_EMAIL,-0.17798245093173062
7,NUM_DAYS_CREDIT_HISTORY,-1.2199696400002764
