,NUM_AGE,TARGET,COUNT
0,18,0,142
1,18,1,53
2,19,0,189
3,19,1,33
4,20,0,251
5,20,1,34
6,21,0,232
7,21,1,24
8,22,0,235
9,22,1,22
10,23,0,242
11,23,1,31
12,24,0,247
13,24,1,21
14,25,0,247
15,25,1,23
16,26,0,229
17,26,1,25
18,27,0,245
19,27,1,18
20,28,0,194
21,28,1,17
22,29,0,170
23,29,1,17
24,30,0,158
25,30,1,15
26,31,0,128
27,31,1,8
28,32,0,123
29,32,1,14
30,33,0,128
31,33,1,6
32,34,0,91
33,34,1,11
34,35,0,102
35,35,1,8
36,36,0,92
37,36,1,10
38,37,0,74
39,37,1,4
40,38,0,82
41,38,1,1
42,39,0,71
43,39,1,4
44,40,0,76
45,40,1,8
46,41,0,59
47,41,1,5
48,42,0,60
49,42,1,7
50,43,0,66
51,43,1,6
52,44,0,50
53,44,1,2
54,45,0,52
55,45,1,7
56,46,0,65
57,46,1,3
58,47,0,45
59,47,1,3
60,48,0,33
61,48,1,2
62,49,0,30
63,49,1,6
64,50,0,34
65,50,1,0
66,51,0,22
67,51,1,2
68,52,0,21
69,52,1,5
70,53,0,21
71,53,1,4
72,54,0,21
73,54,1,4
74,55,0,21
75,55,1,1
76,56,0,15
77,56,1,5
78,57,0,10
79,57,1,3
80,58,0,10
81,58,1,0
82,59,0,13
83,59,1,0
84,60,0,7
85,60,1,3
86,61,0,10
87,61,1,3
88,62,0,11
89,62,1,3
90,63,0,9
91,63,1,3
92,64,0,5
93,64,1,1
94,65,0,5
95,65,1,1
96,66,0,12
97,66,1,2
98,67,0,5
99,67,1,2
100,68,0,2
101,68,1,1
102,69,0,5
103,69,1,1
104,70,0,9
105,70,1,3
106,71,0,10
107,71,1,0
108,72,0,1
109,72,1,0
110,73,0,6
111,73,1,1
112,74,0,3
113,74,1,0
114,75,0,3
115,75,1,0
116,76,0,2
117,76,1,0
118,77,0,0
119,77,1,0
120,78,0,0
121,78,1,0
122,79,0,0
123,79,1,0
124,80,0,0
125,80,1,1
126,81,0,0
127,81,1,0
128,82,0,0
129,82,1,0
130,83,0,1
131,83,1,0
132,84,0,1
133,84,1,0
